aa_dic_type,subtype,ssubtype,English,Karaoké,Thaï,Karaoké_meh
alph,"[""all"", ""g""]",,,tcho katcheu,ฌ,tcho katcheu
alph,"[""all"", ""g""]",,,yo ying,ญ,yo ying
alph,"[""all"", ""g""]",,,do shadaa,ฎ,do shadaa
alph,"[""all"", ""g""]",,,no nén,ณ,no nén
alph,"[""all"", ""g""]",,,lo leu,ฤ,lo leu
alph,"[""all"", ""k""]",,,khro khraï,ข,khro khraï
alph,"[""all"", ""k""]",,,khro khrwaï,ค,khro khrwaï
alph,"[""all"", ""k""]",,,khro khrone,ฅ,khro khrone
alph,"[""all"", ""k""]",,,khro lakhran,ฆ,khro lakhran
alph,"[""all"", ""p"", ""g""]",,,phro samphrao,ภ,phro samphrao
alph,"[""all"", ""p""]",,,po pa,ป,po pa
alph,"[""all"", ""p""]",,,phro phrüng,ผ,phro phrüng
alph,"[""all"", ""p""]",,,phro phran,พ,phro phran
alph,"[""all"", ""s""]",,,so so/ço ço,ซ,so so/ço ço
alph,"[""all"", ""s""]",,,so saLa/ço çaLa,ศ,so saLa/ço çaLa
alph,"[""all"", ""s""]",,,so luci/ço luçi,ษ,so luci/ço luçi
alph,"[""all"", ""s""]",,,so süa/ço çüa,ส,so süa/ço çüa
alph,"[""all"", ""t"", ""g""]",,,dto padtak,ฏ,dto padtak
alph,"[""all"", ""t"", ""g""]",,,tho thoung,ถ,tho thoung
alph,"[""all"", ""t""]",,,tho than,ฐ,tho than
alph,"[""all"", ""t""]",,,tho nang montho,ฑ,tho nang montho
alph,"[""all"", ""t""]",,,tho pouthao,ฒ,tho pouthao
alph,"[""all"", ""t""]",,,dto dtao,ต,dto dtao
alph,"[""all"", ""t""]",,,tho thahan,ท,tho thahan
alph,"[""all"", ""t""]",,,tho thong,ธ,tho thong
alph,"[""all""]",,,ng[on] ngou,ง,ng[on] ngou
alph,"[""all""]",,,djo djan,จ,djo djan
alph,"[""all""]",,,tcho tching,ฉ,tcho tching
alph,"[""all""]",,,tcho tchang,ช,tcho tchang
alph,"[""all""]",,,do dek,ด,do dek
alph,"[""all""]",,,bo baï maï,บ,bo baï maï
alph,"[""all""]",,,fo fa,ฝ,fo fa
alph,"[""all""]",,,fo fan,ฟ,fo fan
alph,"[""all""]",,,yo yak,ย,yo yak
alph,"[""all""]",,,lo ling,ล,lo ling
alph,"[""all""]",,,wo wèn,ว,wo wèn
alph,"[""all""]",,,lo joula,ฬ,lo joula
alph,"[""all""]",,,ho nohou,ฮ,ho nohou
alph,[],,,ko kaï,ก,ko kaï
alph,[],,,doesn't exist,ฃ,doesn't exist
alph,[],,,no nou,น,no nou
alph,[],,,mo ma,ม,mo ma
alph,[],,,ro rua,ร,ro rua
alph,[],,,ho hyip,ห,ho hyip
alph,[],,,o ang,อ,o ang
digit,,,digit 1,neung,1,neung
digit,,,digit 2,sang,2,sang
digit,,,digit 3,saam,3,saam
digit,,,digit 4,si,4,si
digit,,,digit 5,ha,5,ha
digit,,,digit 6,hok,6,hok
digit,,,digit 7,jet,7,jet
digit,,,digit 8,paet,8,paet
digit,,,digit 9,kao,9,kao
vowel,,,,h[eu]re (2),เอิ,h[eu]re (2)
vowel,,,,h[eu]re,เออะ,h[eu]re
vowel,,,,œil,เอย,œil
vowel,,,,eua,เอือะ,üa
vowel,,,,oua,อัะ,oua
vowel,,,,ò (2),เอาะ,t[o]rt (2)
vowel,,,,ao,เอา,ao
vowel,,,,ò,ออ,"t[o]rt (off, or, etc)"
vowel,,,,ïa,เอียะ,ïa
word,1,KR-EN,and,lè,และ,láe
word,1,KR-EN,Arm ,khèèn,แขน,khăen
word,1,KR-EN,but,dtèè,แต่,dtàe
word,1,KR-EN,Car ,rót,รถ,rót (eau)
word,1,KR-EN,Ear ,hûu,หู,hûu
word,1,KR-EN,Eyes ,dtaa,ตา,dtaa
word,1,KR-EN,Face ,nâa,หน้า,nâa
word,1,KR-EN,Father ,phò,พ่อ,phò (off)
word,1,KR-EN,Finger ,niu,นิ้ว,niu
word,1,KR-EN,Foot ,thao,เท้า,thâao
word,1,KR-EN,for,pheua,เพื่อ,phûeua
word,1,KR-EN,from,jak,จาก,jàak
word,1,KR-EN,Hair ,phòm,ผม,phxm
word,1,KR-EN,Hand ,mue,มือ,mue
word,1,KR-EN,Head ,hûa,หัว,hûa
word,1,KR-EN,if,thâa,ถ้า,thâa
word,1,KR-EN,in,nai,ใน,nai
word,1,KR-EN,Judge ,săan,ศาล,săan
word,1,KR-EN,Kids ,dèk,เด็ก,dèk
word,1,KR-EN,Leg ,kăa,ขา,kăa
word,1,KR-EN,Money ,ngern,เงิน,ngern
word,1,KR-EN,Mother ,mâe,แม่,mâe
word,1,KR-EN,Mouth ,bpàak,ปาก,bpàak
word,1,KR-EN,Neck ,khx,คอ,khx
word,1,KR-EN,Noodles ,sĕn,เส้น,sĕn
word,1,KR-EN,on,bon,บน,bon
word,1,KR-EN,or,rǔe,หรือ,rǔe
word,1,KR-EN,Salt ,glêua,เกลือ,glêua
word,1,KR-EN,Shirt ,suea,เสื้อ,suea
word,1,KR-EN,Shoulder ,lâi,ไหล่,lâi
word,1,KR-EN,Stomach ,eo,เอว,eo
word,1,KR-EN,Teacher ,khruu,ครู,khruu
word,1,KR-EN,Teeth ,fan,ฟัน,fan
word,1,KR-EN,to be (attr),pĕn,เป็น,pĕn
word,1,KR-EN,to be (know),Rxbrū̂,รอบรู้,Rxbrū̂
word,1,KR-EN,to be (live),Xyū̀,อยู่,Xyū̀
word,1,KR-EN,to be (thing),khụ̄x,คือ,khụ̄x
word,1,KR-EN,To drink ,khîaw,เคี้ยว,khîaw
word,1,KR-EN,To run ,wing,วิ่ง,wing
word,1,KR-EN,To see ,hen,เห็น,hen
word,1,KR-EN,To smell ,glîn,กลิ่น,glîn
word,1,KR-EN,To taste ,rót,รส,rót
word,1,KR-EN,To think ,khit,คิด,khit
word,1,KR-EN,Tongue ,lin,ลิ้น,lin
word,1,KR-EN,under,dtâi,ใต้,dtâi
word,1,KR-EN,Waist ,eo,เอว,eo
word,1,KR-EN,We ,răo,เรา,răo
word,1,KR-EN,Who ,khrai,ใคร,khrai
word,1,KR-EN,with,gàp,กับ,gàp
word,1,TH-EN,1000,pan,พัน,pan
word,1,TH-EN,1_000_000,Lan,ล้าน,Lan
word,1,TH-EN,Beef ,nêua,เนื้อ,nêua
word,1,TH-EN,Car ,rót,รถ,rót
word,1,TH-EN,Chicken ,kài,ไก่,kài
word,1,TH-EN,Chilies ,phrik,พริก,phrik
word,1,TH-EN,digit 0,soun,ศูนย์,soun
word,1,TH-EN,Duck,phĕd (ป็),เป็ด,phĕd (ป็)
word,1,TH-EN,Egg ,khài,ไข่,khài
word,1,TH-EN,Fish ,plâa,ปลา,plâa
word,1,TH-EN,Friend ,p̄hỷn,เพื่อน,p̄hỷn
word,1,TH-EN,He ,khăo,เขา,khăo
word,1,TH-EN,House ,bâan,บ้าน,bâan
word,1,TH-EN,I ,phŏm,ผม,phŏm
word,1,TH-EN,Pork ,mûu,หมู,mûu
word,1,TH-EN,Rice ,kăao,ข้าว,kăao
word,1,TH-EN,She ,tĕr,เธอ,tĕr
word,1,TH-EN,Shrimp ,kûng,กุ้ง,kûng
word,1,TH-EN,Spicy,phĕd (ผ็),เผ็ด,phĕd (ผ็)
word,1,TH-EN,To come ,maa,มา,maa
word,1,TH-EN,To eat ,gin,กิน,gin
word,1,TH-EN,To go ,bpai,ไป,bpai
word,1,TH-EN,To speak ,phûut,พูด,phûut
word,1,TH-EN,Water ,nạm,น้ำ,nạm
word,1,TH-EN,Yes ,chai,ใช่,chai
word,1,TH-EN,You ,kun,คุณ,kun
word,2,KR-EN,11,sip-et,11,sip-et
word,2,KR-EN,100,neung roï,100,neung roï
word,2,KR-EN,always,S̄emx,เสมอ,S̄emx
word,2,KR-EN,Architect ,sathap-nik,สถาปนิก,sathap-nik
word,2,KR-EN,Army ,thahan,ทหาร,thahan
word,2,KR-EN,Baking powder ,bpm-nak,ปั๊มหนัก,bpm-nak
word,2,KR-EN,Baking soda ,sx-diiam,โซเดียม,sx-diiam
word,2,KR-EN,because,phrá(-wà),เพราะว่า,phrá(-wà)
word,2,KR-EN,Chest ,nâa-xk,หน้าอก,nâa-xk
word,2,KR-EN,Clothes ,suea-phaa,เสื้อผ้า,suea-phaa
word,2,KR-EN,Coconut milk ,kathi,กะทิ,kathi
word,2,KR-EN,Coriander ,phak-chii,ผักชี,phak-chii
word,2,KR-EN,Cumin ,phrik-thai,พริกไทย,phrik-thai
word,2,KR-EN,Dancer ,nak-dtên,นักเต้น,nak-dtên
word,2,KR-EN,Doctor ,pháet-y,แพทย์,pháet-y
word,2,KR-EN,Dress ,dèr-sà,เดรส,dèr-sà
word,2,KR-EN,Flour ,kăao-phx̀t,ข้าวโพด,kăao-phx̀t
word,2,KR-EN,Garlic ,krathiam,กระเทียม,krathiam
word,2,KR-EN,Goodbye ,lā kxn,ลาก่อน,lā kxn
word,2,KR-EN,Hip ,sà-phxk,สะโพก,sà-phxk
word,2,KR-EN,Hospital ,rxng-phayabàan,โรงพยาบาล,rxng-phayabàan
word,2,KR-EN,How ,yàang-rai,อย่างไร,yàang-rai
word,2,KR-EN,Lawyer ,thnay-khwam,ทนายความ,thnay-khwam
word,2,KR-EN,Lemongrass ,dtakhrai,ตะไคร้,dtakhrai
word,2,KR-EN,minus 1,Lop neung,!ไม่  ๑,Lop neung
word,2,KR-EN,Nose ,chamûuk,จมูก,chamûuk
word,2,KR-EN,Oil ,nam-mun,น้ำมัน,nam-mun
word,2,KR-EN,Onion ,hûa-hxm,หัวหอม,hûa-hxm
word,2,KR-EN,Pants ,kang-kxng,กางเกง,kang-kxng
word,2,KR-EN,Parents ,phx-mâe,พ่อแม่,phx-mâe
word,2,KR-EN,Phone ,tôr-sap,โทรศัพท์,tôr-sap
word,2,KR-EN,Pilot ,nak-bin,นักบิน,nak-bin
word,2,KR-EN,plus 1,bouak neung,บวก  ๑,bouak neung
word,2,KR-EN,Police ,dtam-rxwt,ตำรวจ,dtam-rxwt
word,2,KR-EN,Policeman ,dtam-rxwt,ตำรวจ,dtam-rxwt
word,2,KR-EN,School ,rxng-rîan,โรงเรียน,rxng-rîan
word,2,KR-EN,Singer ,nak-rxwng,นักร้อง,nak-rxwng
word,2,KR-EN,so,dang-nán,ดังนั้น,dang-nán
word,2,KR-EN,Soldier ,thahan,ทหาร,thahan
word,2,KR-EN,Soy sauce ,sii-iu,ซีอิ๊ว,sii-iu
word,2,KR-EN,Student ,nak-rîan,นักเรียน,nak-rîan
word,2,KR-EN,Sugar ,nam-dtān,น้ำตาล,nam-dtān
word,2,KR-EN,times 2,khroun sang,คูณ  ๒,khroun sang
word,2,KR-EN,To feel ,rûu-sèuk,รู้สึก,rûu-sèuk
word,2,KR-EN,To hear ,dâi-yin,ได้ยิน,dâi-yin
word,2,KR-EN,To work ,tam-ngaan,ทำงาน,tam-ngaan
word,2,KR-EN,Train ,rót-fai,รถไฟ,rót-fai
word,2,KR-EN,What ,à-rai,อะไร,à-rai
word,2,KR-EN,When ,meúa-rai,เมื่อไร,meúa-rai
word,2,KR-EN,Where ,tîi-nai,ที่ไหน,tîi-nai
word,2,KR-EN,Why ,tam-mai,ทำไม,tam-mai
word,2,TH-EN,20,yi-sip,ยี่สิบ,yi-sip
word,2,TH-EN,Book ,nangsue,หนังสือ,nangsue
word,2,TH-EN,Fish sauce ,nam-plaa,น้ำปลา,nam-plaa
word,2,TH-EN,Food ,āhān,อาหาร,āhān
word,2,TH-EN,Hello ,s̄wạs̄dii,สวัสดี,s̄wạs̄dii
word,2,TH-EN,No ,mâi chai,ไม่ใช่,mâi chai
word,2,TH-EN,Thank you ,k̄hx p khun,ขอบคุณ,k̄hx p khun
word,2,TH-EN,They ,phûak khăo,พวกเขา ,phûak khăo
word,2,TH-EN,Vinegar ,nam-som,น้ำส้ม,nam-som
word,2,TH-EN,You pluriel,phûak tĕr,พวกเธอ ,phûak tĕr
word,3,KR-EN,Accountant ,nak-banchii,นักบัญชี,nak-banchii
word,3,KR-EN,Bicycle ,jak-ka-yan,จักรยาน,jak-ka-yan
word,3,KR-EN,Bus ,rót-doiy-săan,รถโดยสาร,rót-doiy-săan
word,3,KR-EN,Businessman ,nak-thuri-kit,นักธุรกิจ,nak-thuri-kit
word,3,TH-EN,Computer ,kxm-phiu-dtêu,คอมพิวเตอร์,kxm-phiu-dtêu
word,3,KR-EN,Engineer ,wit-sxw-khxn,วิศวกร,wit-sxw-khxn
word,3,TH-EN,Internet ,in-dtêu-net,อินเตอร์เน็ต,in-dtêu-net
word,3,KR-EN,Musician ,nak-dondtri,นักดนตรี,nak-dondtri
word,3,KR-EN,neither,mâi + verb + rǔe,ไม่  หรือ,mâi + verb + rǔe
word,3,KR-EN,Nurse ,phayabàan,พยาบาล,phayabàan
word,3,KR-EN,Plane ,khrueang-bin,เครื่องบิน,khrueang-bin
word,3,KR-EN,while,nai kà-nà-tîi,ในขณะที่,nai kà-nà-tîi
word,1,KR-EN,(not) yet,yang,ยัง,yang
word,1,KR-EN,already,Læ̂w,แล้ว,Læ̂w
word,1,KR-EN,bad,thom,โทม,thom
word,1,KR-EN,bird,Nk,นก,Nk
word,1,KR-EN,cat,Mæw,แมว,Mæw
word,1,KR-EN,cow,Wạw,วัว,Wạw
word,1,KR-EN,cut,phad,ปาด,phad
word,1,KR-EN,day,Wạn,วัน,Wạn
word,1,KR-EN,do not,Xỳā,อย่า,Xỳā
word,1,KR-EN,dog,H̄mā,หมา,H̄mā
word,1,KR-EN,elephant,Cĥāng,ช้าง,Cĥāng
word,1,KR-EN,ever,Khey,เคย,Khey
word,1,KR-EN,fat,X̂wn,อ้วน,X̂wn
word,1,KR-EN,good,Dī,ดี,Dī
word,1,KR-EN,horse,M̂ā,ม้า,M̂ā
word,1,KR-EN,human,Khn,คน,Khn
word,1,KR-EN,job,Ngān,งาน,Ngān
word,1,KR-EN,meat,Neụ̄̂x,เนื้อ,Neụ̄̂x
word,1,KR-EN,monkey,Ling,ลิง,Ling
word,1,KR-EN,some,Bāng,บาง,Bāng
word,1,KR-EN,to do,Thả,ทำ,Thả
word,1,KR-EN,to go,Pị,ไป,Pị
word,1,KR-EN,to read,X̀ān,อ่าน,X̀ān
word,1,KR-EN,to smell,Klìn,กลิ่น,Klìn
word,1,KR-EN,to speak,Phūd,พูด,Phūd
word,1,KR-EN,to write,K̄heīyn,เขียน,K̄heīyn
word,1,KR-EN,vegetable,P̄hạk,ผัก,P̄hạk
word,1,KR-EN,year,Pī,ปี,Pī
word,2,KR-EN,age,Xāyu,อายุ,Xāyu
word,2,KR-EN,all,Thậngh̄md,ทั้งหมด,Thậngh̄md
word,2,KR-EN,birthday,Wạn keid,วันเกิด,Wạn keid
word,2,KR-EN,dessert (1),K̄hnm,ขนม,K̄hnm
word,2,KR-EN,everyone,Thuk khn,ทุกคน,Thuk khn
word,2,KR-EN,everything,Thuk xỳāng,ทุกอย่าง,Thuk xỳāng
word,2,KR-EN,everywhere,Thuk thī̀,ทุกที่,Thuk thī̀
word,2,KR-EN,fruit,P̄hl mị̂,ผลไม้,P̄hl mị̂
word,2,KR-EN,gift,K̄hxngk̄hwạỵ,ของขวัญ,K̄hxngk̄hwạỵ
word,2,KR-EN,i did,C̄hạn thả,ฉันทำ,C̄hạn thả
word,2,KR-EN,i will,C̄hạn ca,ฉันจะ,C̄hạn ca
word,2,KR-EN,music,Dntrī,ดนตรี,Dntrī
word,2,KR-EN,never,Mị̀ khey,ไม่เคย,Mị̀ khey
word,2,KR-EN,potato,Mạnf̄rạ̀ng,มันฝรั่ง,Mạnf̄rạ̀ng
word,2,KR-EN,rabbit,Krat̀āy,กระต่าย,Krat̀āy
word,2,KR-EN,someone,Bāng khn,บางคน,Bāng khn
word,2,KR-EN,sometimes,Bāng khrậng,บางครั้ง,Bāng khrậng
word,2,KR-EN,spirit,Wiỵỵāṇ,วิญญาณ,Wiỵỵāṇ
word,2,KR-EN,to feel,Rū̂s̄ụk,รู้สึก,Rū̂s̄ụk
word,2,KR-EN,to listen,Pheụ̄̀x fạng,เพื่อฟัง,Pheụ̄̀x fạng
word,2,KR-EN,to touch,S̄ạmp̄hạs̄,สัมผัส,S̄ạmp̄hạs̄
word,2,KR-EN,to watch,phueu douu,เพื่อดู,Pheụ̄̀x dū
word,2,KR-EN,tomorrow,phroung niy,พรุ่งนี้,Phrùngnī̂
word,2,KR-EN,yesterday,meu waan,เมื่อวาน,Meụ̄̀x wān
word,3,KR-EN,cook,tham ahaan,ทำอาหาร,Thả xāh̄ār
word,3,KR-EN,dessert (2),khong waan,ของหวาน,K̄hxngh̄wān
word,3,KR-EN,i am 10 years old,chan ayu sip piy,ฉันอายุสิบปี,C̄hạn xāyu s̄ib pī
word,3,KR-EN,i come from,chan maa jaa(k),ฉันมาจาก,C̄hạn mā cāk
word,3,KR-EN,i live in,tchan asaï younaï,ฉันอาศัยอยู่ใน,C̄hạn xāṣ̄ạy xyū̀ nı
word,3,KR-EN,no one,maïmiy khraï,ไม่มีใคร,Mị̀mī khır
word,3,KR-EN,nothing,maïmiy araï,ไม่มีอะไร,Mị̀mī xarị
word,3,KR-EN,nowhere,maïmiy thinaï leuï,ไม่มีที่ไหนเลย,Mị̀mī thī̀h̄ịn ley
word,3,KR-EN,something,baang sing baang yaang,บางสิ่งบางอย่าง,Bāng s̄ìng bāng xỳāng
word,3,KR-EN,somewhere,thinaï sak hèng,ที่ไหนสักแห่ง,Thī̀h̄ịn s̄ạk h̄æ̀ng
word,3,KR-EN,to come,thi dja maa,ที่จะมา,Thī̀ ca mā
word,3,KR-EN,to give,thi dja haï,ที่จะให้,Thī̀ ca h̄ı̂
word,3,KR-EN,to have,phueu thi dja miy,เพื่อที่จะมี,Pheụ̄̀x thī̀ ca mī
word,3,KR-EN,to hear,thi dja daïyin,ที่จะได้ยิน,Thī̀ ca dị̂yin
word,3,KR-EN,to hit,thi dja dtiy,ที่จะตี,Thī̀ ca tī
word,3,KR-EN,to see,phueu thi dja daï hèn,เพื่อที่จะได้เห็น,Pheụ̄̀x thī̀ ca dị̂ h̄ĕn
word,3,KR-EN,to take,thi dja tchaï,ที่จะใช้,Thī̀ ca chı̂
word,3,KR-EN,to walk,thi dja deun,ที่จะเดิน,Thī̀ ca dein
word,3,KR-EN,too much,mak keunpaï,มากเกินไป,Māk keinpị
word,1,KR-EN,meaning,khwam maï,ความหมาย,Khwām h̄māy
word,1,KR-EN,this,ni,นี้,Nī̂
word,3,KR-EN,What does this mean ?,pae wa arai,a,a
